"day","year","Adoxophyes_honmai"
64,1994,0
69,1994,6
74,1994,0
79,1994,1
84,1994,0
89,1994,1
95,1994,57
100,1994,37
105,1994,11
110,1994,31
115,1994,38
120,1994,49
125,1994,41
130,1994,2
135,1994,4
140,1994,0
145,1994,1
150,1994,36
156,1994,72
161,1994,717
166,1994,747
171,1994,207
176,1994,91
181,1994,78
186,1994,9
191,1994,6
196,1994,59
201,1994,412
206,1994,589
211,1994,356
217,1994,68
222,1994,16
227,1994,0
232,1994,7
237,1994,218
242,1994,969
248,1994,850
253,1994,213
258,1994,28
263,1994,11
268,1994,2
273,1994,4
278,1994,6
283,1994,14
288,1994,220
293,1994,414
298,1994,138
303,1994,166
309,1994,28
314,1994,10
319,1994,12
324,1994,5
329,1994,0
334,1994,3
64,1995,0
69,1995,1
74,1995,0
79,1995,0
84,1995,6
89,1995,5
95,1995,1
100,1995,14
105,1995,21
110,1995,83
115,1995,155
120,1995,160
125,1995,69
130,1995,16
135,1995,8
140,1995,6
145,1995,0
150,1995,1
156,1995,8
161,1995,48
166,1995,250
171,1995,868
176,1995,444
181,1995,268
186,1995,21
191,1995,5
196,1995,0
201,1995,11
206,1995,160
211,1995,764
217,1995,833
222,1995,254
227,1995,72
232,1995,8
237,1995,6
242,1995,30
248,1995,116
253,1995,884
258,1995,1365
263,1995,156
268,1995,129
273,1995,42
278,1995,12
283,1995,6
288,1995,13
293,1995,19
298,1995,11
303,1995,35
309,1995,6
314,1995,3
319,1995,3
324,1995,6
329,1995,2
334,1995,1
64,1996,0
69,1996,0
74,1996,0
79,1996,0
84,1996,0
89,1996,2
95,1996,0
100,1996,6
105,1996,11
110,1996,14
115,1996,5
120,1996,92
125,1996,39
130,1996,87
135,1996,41
140,1996,16
145,1996,5
150,1996,4
156,1996,3
161,1996,10
166,1996,222
171,1996,165
176,1996,342
181,1996,172
186,1996,42
191,1996,17
196,1996,11
201,1996,66
206,1996,270
211,1996,223
217,1996,857
222,1996,315
227,1996,83
232,1996,33
237,1996,22
242,1996,115
248,1996,273
253,1996,752
258,1996,1138
263,1996,719
268,1996,824
273,1996,54
278,1996,72
283,1996,40
288,1996,44
293,1996,36
298,1996,488
303,1996,560
309,1996,93
314,1996,9
319,1996,7
324,1996,1
329,1996,1
334,1996,2
64,1997,0
69,1997,1
74,1997,21
79,1997,6
84,1997,0
89,1997,9
95,1997,103
100,1997,5
105,1997,11
110,1997,55
115,1997,37
120,1997,58
125,1997,31
130,1997,1
135,1997,1
140,1997,0
145,1997,0
150,1997,17
156,1997,103
161,1997,199
166,1997,91
171,1997,77
176,1997,59
181,1997,50
186,1997,14
191,1997,2
196,1997,12
201,1997,19
206,1997,99
211,1997,148
217,1997,10
222,1997,9
